benefitamount (DEV Raw),benefitamount (QA Raw),,benefittyperaw (DEV Raw),benefittyperaw (QA Raw),termcode (DEV Raw),termcode (QA Raw),recordactivitydate (DEV Raw),recordactivitydate (QA Raw),personid (DEV Raw),personid (QA Raw)
1400.0,1000.0,,FSEG,NAVP,200610,201410.0,08/05/99,05/24/04,135,221.0
1550.0,1000.0,,FFPG,FSEG,199610,199810.0,08/04/99,03/27/03,2090,31154.0
1475.0,1000.0,,FFPG,FSEG,199810,199910.0,04/23/98,10/05/95,30543,37727.0
450.0,-18.44,,FFPG,FSEG,199810,199910.0,10/03/05,07/19/11,910,2494.0
2000.0,250.0,,FFPG,FSEG,199910,200420.0,04/26/98,02/15/02,3139,33345.0
500.0,250.0,,FFPG,FSEG,200510,200720.0,02/09/09,02/08/09,3139,33130.0
1499.0,2000.0,,FFPG,NAVP,199810,199910.0,10/06/95,06/27/01,30317,35974.0
1170.0,500.0,,FSEG,NAVP,200310,200610.0,06/08/04,11/14/06,2589,32134.0
2000.0,250.0,,FFPG,FSEG,200720,201210.0,03/26/03,10/27/05,2790,32567.0
850.0,2000.0,,FFPG,FSEG,200410,200620.0,03/26/03,09/21/05,2788,32529.0
1850.0,3588.75,,FFPG,FSEG,200310,200710.0,10/10/03,04/05/06,2288,31732.0
500.0,600.0,,FFPG,FSEG,199910,200410.0,11/10/05,10/12/09,3332,33629.0
1975.0,1000.0,,FFPG,VMS,200310,200610.0,02/06/08,10/26/07,30468,36576.0
750.0,1500.0,,FFPG,FSEG,200810,201310.0,02/15/02,09/23/04,30065,34324.0
600.0,250.0,,FFPG,FSEG,200120,200310.0,01/29/06,02/04/13,3108,33005.0
1175.0,600.0,,FFPG,FSEG,200320,200510.0,06/08/04,11/15/06,1572,30142.0
600.0,1000.0,,FFPG,FSEG,201120,201520.0,11/17/04,09/29/08,2091,31178.0
300.0,500.0,,FFPG,FSEG,200610,200910.0,01/03/08,10/26/10,1360,3109.0
750.0,3588.75,,FFPG,FSEG,200320,200720.0,05/13/03,10/27/06,30538,37489.0
700.0,1500.0,,FFPG,FSEG,200710,200420.0,10/06/95,01/22/98,521,765.0
600.0,-150.0,,FFPG,NAVP,200510,200720.0,05/09/06,09/19/07,200,399.0
600.0,1000.0,,FFPG,FSEG,200810,201110.0,02/06/13,03/24/15,30217,35483.0
844.0,-62.0,,FFPG,FSEG,200510,200710.0,08/16/05,07/12/07,3004,32866.0
780.0,250.0,,FFPG,FSEG,199810,200120.0,06/13/01,11/16/07,30037,34323.0
1125.0,250.0,,FSEG,NAVP,199810,200110.0,09/19/05,11/22/06,896,1927.0
1100.0,250.0,,FFPG,FSEG,200510,200810.0,02/06/13,07/17/15,399,709.0
825.0,250.0,,FFPG,FSEG,199810,199910.0,06/17/02,10/27/06,649,899.0
1250.0,250.0,,FFPG,FSEG,200910,200810.0,08/10/05,01/18/12,3139,33237.0
2000.0,188.0,,FFPG,FSEG,200410,200710.0,01/03/08,11/02/10,2867,32728.0
1500.0,1000.0,,FFPG,FSEG,200720,200710.0,04/23/98,05/03/01,620,881.0
1000.0,750.0,,FFPG,FSEG,200420,200210.0,08/17/04,02/19/09,904,2201.0
1075.0,600.0,,FFPG,FSEG,199920,200310.0,11/22/05,11/13/13,1296,3049.0
-1100.0,250.0,,FFPG,FSEG,200510,200810.0,05/14/03,03/23/05,2498,32082.0
1280.0,1053.0,,FFPG,FSEG,200510,200810.0,08/04/99,05/14/03,1911,30624.0
1225.0,600.0,,FFPG,FSEG,201310,201520.0,08/27/04,09/25/09,2293,31902.0
600.0,500.0,,FFPG,FSEG,200510,200810.0,03/12/98,08/05/99,3139,33358.0
1000.0,360.0,,FFPG,FSEG,200510,200710.0,06/18/04,11/03/06,889,1873.0
1150.0,-297.0,,FFPG,FSEG,200510,200810.0,06/22/98,02/14/02,1476,3403.0
600.0,300.0,,FFPG,FSEG,200210,200510.0,11/11/04,05/05/08,2849,32617.0
-300.0,500.0,,FFPG,ARMP,200410,200610.0,07/13/00,08/09/04,892,1922.0
250.0,-250.0,,FFPG,FSEG,200320,200610.0,03/26/03,10/11/04,3071,32988.0
1225.0,2000.0,,FFPG,FSEG,200510,200810.0,11/10/05,10/05/08,30839,72535.0
1141.0,250.0,,FFPG,FSEG,200610,201410.0,09/24/05,11/03/10,3571,34296.0
500.0,600.0,,FFPG,FSEG,200410,200610.0,09/20/05,11/22/06,913,2635.0
-225.0,250.0,,FFPG,FSEG,200310,200710.0,11/22/05,11/05/13,30555,38683.0
1650.0,600.0,,FFPG,FSEG,200710,201210.0,08/05/99,10/15/03,2786,32504.0
1700.0,250.0,,FSEG,NAVP,200210,200410.0,07/15/04,02/19/09,2788,32540.0
1000.0,500.0,,FFPG,FSEG,200110,200510.0,07/08/05,12/04/08,1737,30500.0
1600.0,1250.0,,FFPG,FSEG,200610,201410.0,10/27/05,09/25/09,709,916.0
99.0,250.0,,FFPG,FSEG,200620,201410.0,05/14/03,02/21/10,2875,32749.0
-212.0,-1264.5,,FFPG,FSEG,199810,199910.0,02/14/11,05/12/14,759,918.0
